timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1550690072241,1552,HTTP Request,200,OK,Thread Group 1-1,text,true,,24053,253,1,1,https://oxfamapps.org/festivals/,1272,0,1131
1550690072241,1272,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,1,1,https://oxfamapps.org/festivals,1272,0,1131
1550690073516,277,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,139,0,0
1550690073800,286,HTTP Request,200,OK,Thread Group 1-1,text,true,,24052,253,1,1,https://oxfamapps.org/festivals/,124,0,0
1550690073800,124,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,499,126,1,1,https://oxfamapps.org/festivals,124,0,0
1550690073925,161,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,134,0,0
1550690074087,287,HTTP Request,200,OK,Thread Group 1-1,text,true,,24052,253,1,1,https://oxfamapps.org/festivals/,125,0,0
1550690074087,125,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,499,126,1,1,https://oxfamapps.org/festivals,125,0,0
1550690074212,162,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,135,0,0
1550690074375,795,HTTP Request,200,OK,Thread Group 1-1,text,true,,24053,253,1,1,https://oxfamapps.org/festivals/,526,0,401
1550690074375,526,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,1,1,https://oxfamapps.org/festivals,526,0,401
1550690074901,269,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,135,0,0
1550690075171,260,HTTP Request,200,OK,Thread Group 1-1,text,true,,24052,253,1,1,https://oxfamapps.org/festivals/,126,0,0
1550690075171,126,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,499,126,1,1,https://oxfamapps.org/festivals,126,0,0
1550690075297,134,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,128,0,0
1550690075432,262,HTTP Request,200,OK,Thread Group 1-1,text,true,,24052,253,1,1,https://oxfamapps.org/festivals/,126,0,0
1550690075432,126,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,499,126,1,1,https://oxfamapps.org/festivals,126,0,0
1550690075558,136,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,129,0,0
1550690075695,261,HTTP Request,200,OK,Thread Group 1-1,text,true,,24052,253,1,1,https://oxfamapps.org/festivals/,126,0,0
1550690075695,126,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,499,126,1,1,https://oxfamapps.org/festivals,126,0,0
1550690075821,135,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,128,0,0
1550690075957,262,HTTP Request,200,OK,Thread Group 1-1,text,true,,24052,253,1,1,https://oxfamapps.org/festivals/,125,0,0
1550690075957,126,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,499,126,1,1,https://oxfamapps.org/festivals,125,0,0
1550690076083,136,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,128,0,0
1550690076219,262,HTTP Request,200,OK,Thread Group 1-1,text,true,,24052,253,1,1,https://oxfamapps.org/festivals/,126,0,0
1550690076219,126,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,499,126,1,1,https://oxfamapps.org/festivals,126,0,0
