timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1550689963625,1573,HTTP Request,200,OK,Thread Group 1-1,text,false,Response was null,24053,253,1,1,https://oxfamapps.org/festivals/,1301,0,1159
1550689963625,1301,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,1,1,https://oxfamapps.org/festivals,1301,0,1159
1550689964928,270,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,138,0,0
1550689965204,781,HTTP Request,200,OK,Thread Group 1-1,text,false,Response was null,24053,253,1,1,https://oxfamapps.org/festivals/,527,0,403
1550689965204,527,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,1,1,https://oxfamapps.org/festivals,527,0,403
1550689965731,254,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,128,0,0
1550689965986,783,HTTP Request,200,OK,Thread Group 1-1,text,false,Response was null,24053,253,1,1,https://oxfamapps.org/festivals/,519,0,395
1550689965986,519,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,1,1,https://oxfamapps.org/festivals,519,0,395
1550689966506,263,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,131,0,0
1550689966770,774,HTTP Request,200,OK,Thread Group 1-1,text,false,Response was null,24053,253,1,1,https://oxfamapps.org/festivals/,519,0,394
1550689966770,519,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,1,1,https://oxfamapps.org/festivals,519,0,394
1550689967289,255,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,128,0,0
1550689967545,838,HTTP Request,200,OK,Thread Group 1-1,text,false,Response was null,24053,253,1,1,https://oxfamapps.org/festivals/,566,0,441
1550689967545,566,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,1,1,https://oxfamapps.org/festivals,566,0,441
1550689968112,271,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,134,0,0
1550689968384,788,HTTP Request,200,OK,Thread Group 1-1,text,false,Response was null,24053,253,1,1,https://oxfamapps.org/festivals/,520,0,396
1550689968384,521,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,1,1,https://oxfamapps.org/festivals,520,0,396
1550689968905,267,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,134,0,0
1550689969174,786,HTTP Request,200,OK,Thread Group 1-1,text,false,Response was null,24053,253,1,1,https://oxfamapps.org/festivals/,519,0,394
1550689969174,519,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,1,1,https://oxfamapps.org/festivals,519,0,394
1550689969693,267,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,134,0,0
1550689969961,780,HTTP Request,200,OK,Thread Group 1-1,text,false,Response was null,24053,253,1,1,https://oxfamapps.org/festivals/,521,0,396
1550689969961,521,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,1,1,https://oxfamapps.org/festivals,521,0,396
1550689970482,259,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,134,0,0
1550689970742,770,HTTP Request,200,OK,Thread Group 1-1,text,false,Response was null,24053,253,1,1,https://oxfamapps.org/festivals/,517,0,392
1550689970742,517,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,1,1,https://oxfamapps.org/festivals,517,0,392
1550689971259,253,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,128,0,0
1550689971513,768,HTTP Request,200,OK,Thread Group 1-1,text,false,Response was null,24053,253,1,1,https://oxfamapps.org/festivals/,515,0,390
1550689971513,515,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,1,1,https://oxfamapps.org/festivals,515,0,390
1550689972028,253,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,128,0,0
1550689972283,787,HTTP Request,200,OK,Thread Group 1-1,text,false,Response was null,24053,253,1,1,https://oxfamapps.org/festivals/,520,0,395
1550689972283,520,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,1,1,https://oxfamapps.org/festivals,520,0,395
1550689972803,267,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,134,0,0
1550689973071,783,HTTP Request,200,OK,Thread Group 1-1,text,false,Response was null,24053,253,1,1,https://oxfamapps.org/festivals/,519,0,394
1550689973071,519,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,1,1,https://oxfamapps.org/festivals,519,0,394
1550689973591,263,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,131,0,0
1550689973855,778,HTTP Request,200,OK,Thread Group 1-1,text,false,Response was null,24053,253,1,1,https://oxfamapps.org/festivals/,516,0,390
1550689973855,516,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,1,1,https://oxfamapps.org/festivals,516,0,390
1550689974371,262,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,132,0,0
1550689974634,779,HTTP Request,200,OK,Thread Group 1-1,text,false,Response was null,24053,253,1,1,https://oxfamapps.org/festivals/,512,0,387
1550689974634,512,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,1,1,https://oxfamapps.org/festivals,512,0,387
1550689975146,267,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,134,0,0
1550689975415,804,HTTP Request,200,OK,Thread Group 1-1,text,false,Response was null,24053,253,1,1,https://oxfamapps.org/festivals/,536,0,412
1550689975415,536,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,1,1,https://oxfamapps.org/festivals,536,0,412
1550689975952,267,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,1,1,https://oxfamapps.org/festivals/,134,0,0
1550689976220,792,HTTP Request,200,OK,Thread Group 1-1,text,false,Response was null,24053,253,1,1,https://oxfamapps.org/festivals/,524,0,399
