timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1550689806067,1539,HTTP Request,200,OK,Thread Group 1-1,text,true,,24053,253,2,2,https://oxfamapps.org/festivals/,1281,0,1140
1550689806067,1281,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,2,2,https://oxfamapps.org/festivals,1281,0,1140
1550689807352,254,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,2,2,https://oxfamapps.org/festivals/,132,0,0
1550689806941,817,HTTP Request,200,OK,Thread Group 1-2,text,true,,24053,253,2,2,https://oxfamapps.org/festivals/,563,0,437
1550689806941,563,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,500,126,2,2,https://oxfamapps.org/festivals,563,0,437
1550689807504,254,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,23553,127,2,2,https://oxfamapps.org/festivals/,129,0,0
1550689807612,779,HTTP Request,200,OK,Thread Group 1-1,text,true,,24053,253,3,3,https://oxfamapps.org/festivals/,518,0,394
1550689807612,518,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,3,3,https://oxfamapps.org/festivals,518,0,394
1550689808130,261,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,3,3,https://oxfamapps.org/festivals/,130,0,0
1550689807760,775,HTTP Request,200,OK,Thread Group 1-2,text,true,,24053,253,3,3,https://oxfamapps.org/festivals/,521,0,395
1550689807760,521,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,500,126,3,3,https://oxfamapps.org/festivals,521,0,395
1550689808281,254,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,23553,127,3,3,https://oxfamapps.org/festivals/,128,0,0
1550689807940,783,HTTP Request,200,OK,Thread Group 1-3,text,true,,24053,253,3,3,https://oxfamapps.org/festivals/,518,0,393
1550689807940,518,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,500,126,3,3,https://oxfamapps.org/festivals,518,0,393
1550689808458,265,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,23553,127,3,3,https://oxfamapps.org/festivals/,133,0,0
1550689808393,769,HTTP Request,200,OK,Thread Group 1-1,text,true,,24053,253,4,4,https://oxfamapps.org/festivals/,516,0,392
1550689808393,516,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,4,4,https://oxfamapps.org/festivals,516,0,392
1550689808910,252,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,4,4,https://oxfamapps.org/festivals/,127,0,0
1550689808536,768,HTTP Request,200,OK,Thread Group 1-2,text,true,,24053,253,4,4,https://oxfamapps.org/festivals/,516,0,392
1550689808536,516,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,500,126,4,4,https://oxfamapps.org/festivals,516,0,392
1550689809052,252,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,23553,127,4,4,https://oxfamapps.org/festivals/,127,0,0
1550689808724,766,HTTP Request,200,OK,Thread Group 1-3,text,true,,24053,253,4,4,https://oxfamapps.org/festivals/,514,0,390
1550689808724,514,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,500,126,4,4,https://oxfamapps.org/festivals,514,0,390
1550689809238,252,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,23553,127,4,4,https://oxfamapps.org/festivals/,127,0,0
1550689808941,773,HTTP Request,200,OK,Thread Group 1-4,text,true,,24053,253,4,4,https://oxfamapps.org/festivals/,519,0,394
1550689808941,519,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,500,126,4,4,https://oxfamapps.org/festivals,519,0,394
1550689809461,253,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,23553,127,4,4,https://oxfamapps.org/festivals/,128,0,0
1550689809163,768,HTTP Request,200,OK,Thread Group 1-1,text,true,,24053,253,4,4,https://oxfamapps.org/festivals/,515,0,391
1550689809163,515,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,4,4,https://oxfamapps.org/festivals,515,0,391
1550689809678,253,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,4,4,https://oxfamapps.org/festivals/,128,0,0
1550689809305,795,HTTP Request,200,OK,Thread Group 1-2,text,true,,24053,253,5,5,https://oxfamapps.org/festivals/,528,0,404
1550689809305,528,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,500,126,5,5,https://oxfamapps.org/festivals,528,0,404
1550689809833,267,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,23553,127,5,5,https://oxfamapps.org/festivals/,134,0,0
1550689809491,768,HTTP Request,200,OK,Thread Group 1-3,text,true,,24053,253,5,5,https://oxfamapps.org/festivals/,515,0,391
1550689809491,515,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,500,126,5,5,https://oxfamapps.org/festivals,515,0,391
1550689810006,253,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,23553,127,5,5,https://oxfamapps.org/festivals/,127,0,0
1550689809716,760,HTTP Request,200,OK,Thread Group 1-4,text,true,,24053,253,5,5,https://oxfamapps.org/festivals/,509,0,385
1550689809716,509,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,500,126,5,5,https://oxfamapps.org/festivals,509,0,385
1550689810226,250,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,23553,127,5,5,https://oxfamapps.org/festivals/,126,0,0
1550689809932,772,HTTP Request,200,OK,Thread Group 1-1,text,true,,24053,253,5,5,https://oxfamapps.org/festivals/,519,0,393
1550689809932,519,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,500,126,5,5,https://oxfamapps.org/festivals,519,0,393
1550689810451,253,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,23553,127,5,5,https://oxfamapps.org/festivals/,128,0,0
1550689809940,768,HTTP Request,200,OK,Thread Group 1-5,text,true,,24053,253,5,5,https://oxfamapps.org/festivals/,514,0,390
1550689809940,514,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,500,126,5,5,https://oxfamapps.org/festivals,514,0,390
1550689810455,253,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,23553,127,5,5,https://oxfamapps.org/festivals/,127,0,0
