timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1550683526516,1012,HTTP Request,405,Not Allowed,Thread Group 1-1,text,false,,6282,250,2,3,https://www.gumtree.com/oxford,101,0,66
1550683526516,101,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,true,,95,125,2,3,http://www.gumtree.com/oxford,101,0,66
1550683526622,906,HTTP Request-1,405,Not Allowed,Thread Group 1-1,text,false,,6187,125,2,3,https://www.gumtree.com/oxford,905,0,847
1550683527380,208,HTTP Request,405,Not Allowed,Thread Group 1-2,text,false,,6282,250,2,3,https://www.gumtree.com/oxford,46,0,23
1550683527380,46,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,,true,,95,125,2,3,http://www.gumtree.com/oxford,46,0,23
1550683527427,161,HTTP Request-1,405,Not Allowed,Thread Group 1-2,text,false,,6187,125,2,3,https://www.gumtree.com/oxford,161,0,109
1550683527533,210,HTTP Request,405,Not Allowed,Thread Group 1-1,text,false,,6282,250,2,3,https://www.gumtree.com/oxford,44,0,22
1550683527533,44,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,true,,95,125,2,3,http://www.gumtree.com/oxford,44,0,22
1550683527577,166,HTTP Request-1,405,Not Allowed,Thread Group 1-1,text,false,,6187,125,2,3,https://www.gumtree.com/oxford,166,0,111
1550683527590,193,HTTP Request,405,Not Allowed,Thread Group 1-2,text,false,,6282,250,2,3,https://www.gumtree.com/oxford,45,0,24
1550683527590,45,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,,true,,95,125,2,3,http://www.gumtree.com/oxford,45,0,24
1550683527636,147,HTTP Request-1,405,Not Allowed,Thread Group 1-2,text,false,,6187,125,2,3,https://www.gumtree.com/oxford,147,0,97
1550683527744,193,HTTP Request,405,Not Allowed,Thread Group 1-1,text,false,,6282,250,2,3,https://www.gumtree.com/oxford,45,0,22
1550683527744,45,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,true,,95,125,2,3,http://www.gumtree.com/oxford,45,0,22
1550683527789,148,HTTP Request-1,405,Not Allowed,Thread Group 1-1,text,false,,6187,125,2,3,https://www.gumtree.com/oxford,148,0,98
1550683527784,191,HTTP Request,405,Not Allowed,Thread Group 1-2,text,false,,6282,250,2,3,https://www.gumtree.com/oxford,44,0,22
1550683527784,44,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,,true,,95,125,2,3,http://www.gumtree.com/oxford,44,0,22
1550683527828,147,HTTP Request-1,405,Not Allowed,Thread Group 1-2,text,false,,6187,125,2,3,https://www.gumtree.com/oxford,147,0,97
1550683527938,196,HTTP Request,405,Not Allowed,Thread Group 1-1,text,false,,6282,250,2,3,https://www.gumtree.com/oxford,47,0,23
1550683527938,47,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,true,,95,125,2,3,http://www.gumtree.com/oxford,47,0,23
1550683527985,149,HTTP Request-1,405,Not Allowed,Thread Group 1-1,text,false,,6187,125,2,3,https://www.gumtree.com/oxford,149,0,99
1550683527977,203,HTTP Request,405,Not Allowed,Thread Group 1-2,text,false,,6282,250,2,3,https://www.gumtree.com/oxford,48,0,23
1550683527977,48,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,,true,,95,125,2,3,http://www.gumtree.com/oxford,48,0,23
1550683528025,155,HTTP Request-1,405,Not Allowed,Thread Group 1-2,text,false,,6187,125,2,3,https://www.gumtree.com/oxford,155,0,100
1550683528136,193,HTTP Request,405,Not Allowed,Thread Group 1-1,text,false,,6282,250,2,3,https://www.gumtree.com/oxford,44,0,22
1550683528136,44,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,true,,95,125,2,3,http://www.gumtree.com/oxford,44,0,22
1550683528181,148,HTTP Request-1,405,Not Allowed,Thread Group 1-1,text,false,,6187,125,2,3,https://www.gumtree.com/oxford,148,0,96
1550683528181,201,HTTP Request,405,Not Allowed,Thread Group 1-2,text,false,,6282,250,3,4,https://www.gumtree.com/oxford,44,0,23
1550683528181,44,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,,true,,95,125,3,4,http://www.gumtree.com/oxford,44,0,23
1550683528226,156,HTTP Request-1,405,Not Allowed,Thread Group 1-2,text,false,,6187,125,3,4,https://www.gumtree.com/oxford,156,0,105
1550683528330,195,HTTP Request,405,Not Allowed,Thread Group 1-1,text,false,,6282,250,3,4,https://www.gumtree.com/oxford,44,0,22
1550683528330,44,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,true,,95,125,3,4,http://www.gumtree.com/oxford,44,0,22
1550683528375,150,HTTP Request-1,405,Not Allowed,Thread Group 1-1,text,false,,6187,125,3,4,https://www.gumtree.com/oxford,150,0,105
1550683528383,199,HTTP Request,405,Not Allowed,Thread Group 1-2,text,false,,6282,250,3,4,https://www.gumtree.com/oxford,45,0,22
1550683528383,45,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,,true,,95,125,3,4,http://www.gumtree.com/oxford,45,0,22
1550683528428,154,HTTP Request-1,405,Not Allowed,Thread Group 1-2,text,false,,6187,125,3,4,https://www.gumtree.com/oxford,154,0,99
1550683528380,206,HTTP Request,405,Not Allowed,Thread Group 1-3,text,false,,6282,250,3,4,https://www.gumtree.com/oxford,45,0,23
1550683528380,45,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,,true,,95,125,3,4,http://www.gumtree.com/oxford,45,0,23
1550683528426,160,HTTP Request-1,405,Not Allowed,Thread Group 1-3,text,false,,6187,125,3,4,https://www.gumtree.com/oxford,160,0,104
1550683528526,200,HTTP Request,405,Not Allowed,Thread Group 1-1,text,false,,6282,250,3,4,https://www.gumtree.com/oxford,44,0,22
1550683528526,44,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,true,,95,125,3,4,http://www.gumtree.com/oxford,44,0,22
1550683528570,156,HTTP Request-1,405,Not Allowed,Thread Group 1-1,text,false,,6187,125,3,4,https://www.gumtree.com/oxford,156,0,104
1550683528583,196,HTTP Request,405,Not Allowed,Thread Group 1-2,text,false,,6282,250,3,4,https://www.gumtree.com/oxford,45,0,22
1550683528583,45,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,,true,,95,125,3,4,http://www.gumtree.com/oxford,45,0,22
1550683528628,151,HTTP Request-1,405,Not Allowed,Thread Group 1-2,text,false,,6187,125,3,4,https://www.gumtree.com/oxford,151,0,104
1550683528587,198,HTTP Request,405,Not Allowed,Thread Group 1-3,text,false,,6282,250,3,4,https://www.gumtree.com/oxford,43,0,22
1550683528587,43,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,,true,,95,125,3,4,http://www.gumtree.com/oxford,43,0,22
1550683528631,154,HTTP Request-1,405,Not Allowed,Thread Group 1-3,text,false,,6187,125,3,4,https://www.gumtree.com/oxford,154,0,101
1550683528727,189,HTTP Request,405,Not Allowed,Thread Group 1-1,text,false,,6282,250,3,4,https://www.gumtree.com/oxford,45,0,22
1550683528727,45,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,true,,95,125,3,4,http://www.gumtree.com/oxford,45,0,22
1550683528772,144,HTTP Request-1,405,Not Allowed,Thread Group 1-1,text,false,,6187,125,3,4,https://www.gumtree.com/oxford,144,0,97
1550683528780,198,HTTP Request,405,Not Allowed,Thread Group 1-2,text,false,,6282,250,3,4,https://www.gumtree.com/oxford,44,0,22
1550683528780,44,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,,true,,95,125,3,4,http://www.gumtree.com/oxford,44,0,22
1550683528824,154,HTTP Request-1,405,Not Allowed,Thread Group 1-2,text,false,,6187,125,3,4,https://www.gumtree.com/oxford,154,0,105
1550683528786,203,HTTP Request,405,Not Allowed,Thread Group 1-3,text,false,,6282,250,3,4,https://www.gumtree.com/oxford,44,0,22
1550683528786,44,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,,true,,95,125,3,4,http://www.gumtree.com/oxford,44,0,22
1550683528830,159,HTTP Request-1,405,Not Allowed,Thread Group 1-3,text,false,,6187,125,3,4,https://www.gumtree.com/oxford,159,0,101
1550683528917,192,HTTP Request,405,Not Allowed,Thread Group 1-1,text,false,,6282,250,3,4,https://www.gumtree.com/oxford,45,0,22
1550683528917,45,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,true,,95,125,3,4,http://www.gumtree.com/oxford,45,0,22
1550683528962,147,HTTP Request-1,405,Not Allowed,Thread Group 1-1,text,false,,6187,125,3,4,https://www.gumtree.com/oxford,147,0,100
1550683528990,196,HTTP Request,405,Not Allowed,Thread Group 1-3,text,false,,6282,250,3,4,https://www.gumtree.com/oxford,44,0,23
1550683528990,44,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,,true,,95,125,3,4,http://www.gumtree.com/oxford,44,0,23
1550683529035,151,HTTP Request-1,405,Not Allowed,Thread Group 1-3,text,false,,6187,125,3,4,https://www.gumtree.com/oxford,151,0,96
1550683528979,210,HTTP Request,405,Not Allowed,Thread Group 1-2,text,false,,6282,250,3,4,https://www.gumtree.com/oxford,46,0,23
1550683528979,46,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,,true,,95,125,3,4,http://www.gumtree.com/oxford,46,0,23
1550683529025,164,HTTP Request-1,405,Not Allowed,Thread Group 1-2,text,false,,6187,125,3,4,https://www.gumtree.com/oxford,164,0,105
1550683529111,195,HTTP Request,405,Not Allowed,Thread Group 1-1,text,false,,6282,250,3,4,https://www.gumtree.com/oxford,45,0,22
1550683529111,45,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,true,,95,125,3,4,http://www.gumtree.com/oxford,45,0,22
1550683529156,150,HTTP Request-1,405,Not Allowed,Thread Group 1-1,text,false,,6187,125,3,4,https://www.gumtree.com/oxford,150,0,98
1550683529190,189,HTTP Request,405,Not Allowed,Thread Group 1-2,text,false,,6282,250,2,3,https://www.gumtree.com/oxford,46,0,23
